Name,Address,Phone,Website,Category,Price Level,Rating,Description,Image URLs
El Museo Latino,"4701 South 25th Street, Omaha",(402) 731-1137,http://elmuseolatino.org/,"museum, tourist_attraction, point_of_interest, establishment",N/A,4.4,"Latino art, local history & culture are showcased in a historic building also hosting dance classes.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ2HZv6k2Pdb-Usm3JthcPlTzdHkUnQfp17ytTOM4MDsipFETNQfBs15kp3kICa3ukVjeZIr3gsQS5ceqyxmcggsBdlB7pI-2SpPFFAyQYj24tCXLzt1Li9RdwMgTacsfjwB8u9vgopWdtFWKpYSsLEOu8GPl1p7q2zIcu8gIlgfu-nJ7u2kXYpLGr5BDX7pXbgegy3j4O2QohpDTLhN39oSpFrmigeTxkJ1JpRa-OBUiSpY02oqtS0DyZjoWz8go-TKjNqSZe1Cq6c5fS2goV3DV65Fg90H8BnZtr4dEvPb0Sbf0w5pPuxsdQa4Wd0lyTsW1-Uan2M&key=GOOGLE_API_KEY
Hot Shops Art Center,"1301 Nicholas Street, Omaha",(402) 342-6452,http://www.hotshopsartcenter.org/,"tourist_attraction, art_gallery, point_of_interest, establishment",N/A,4.8,No description available,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ3FZW2XIJTgR5V2UunETh4zGzk3tnhARNEgXGsrsEDUzJM0w4Da5ZdbQQspjUqeYpVmaeN1itxpaj6v66MnqAjY9HjbwaJgsJyeEWKJl-7l3pcoCNkhrVrr6fc-zrEaKMNcG0K98-lm1gpVxnTP79550_KUe4vlzOkIdb1tmUR2hazxaDa3tKi8qUwc0zzQFY7VpeD3s7rKnK0wFJiMvoVqV0kzk-oYcvOA26HP9VLKSQtBWdFc_lgN5dAfz85NrUL7y169HssiXQ-8JYnxiFcQKS1djA3hWM9JkJyhcpCKe8jaaxUz1YU1kQG0xn1kbFJb7mojf-8&key=GOOGLE_API_KEY
Freedom Park,"2497 Freedom Park Road, Omaha",(402) 444-5955,https://parks.cityofomaha.org/freedom-park/,"museum, tourist_attraction, park, point_of_interest, establishment",N/A,4.5,"Naval history park, home to 2 museum ships: the USS Marlin submarine & the USS Hazard minesweeper.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ3H96X6bub_4Gd7iCeRcpvBR7mwAZPU7aDxyqWLp6SGfY5CRKlGVyQGnQcTF8r_7BxMFGacf2mBmCtxC0F2e9ye1KXe5iUb5tTi0J_YqC8k5az9G-8J-tbRT1Dqntar50Y5GQyXOlJIAaJcC9NlBUGMMC7Api82SI2pPd8f-_7yWbXUmGq46KvbU-TPeyP4jCdKm0Y44KDMmKywcuVy-3QffdEWSAIwfnGVUIrl2E-VSlH6DQkreHlcU1vGdv7BCPuvz5kNhzOOLVCudT_jXb9xYsxsCtFsGZ0t5l6krOojYQJbh2lUKEgccpeMso_GH29nHOXeBTMlOxFOvtZokfwZlxMqJklwP5jyOpb86tSjVH2ZqpWbtczjQfiWmbRPv4H7XxYVS8AgxVvKWikJTrkybVEVeuK7z6U92eFAzrF54lQZzcYj15jVirYcZ2v01Ca7_Z3cYmDp-d_FgSSfXAG6rob0eIr9dKo2Hy15jjR504HgJHXkS6-k2PYyLUpzM-qsEu7bApWx4Ys6sxKR9DTD67PvzFQIBPowa_aLvPmGdSflTEJeIQngDUNpNeDxI-akq3kbt88hYnVrJdUqA8QEwUPb9UCSqsss1R19hTn-Xs_4KdrESm3VIsJvlDp2o4cbeQ&key=GOOGLE_API_KEY
Dodge House-Historic General,"605 South 3rd Street, Council Bluffs",(712) 322-2406,http://www.dodgehouse.org/,"museum, tourist_attraction, point_of_interest, establishment",N/A,4.7,This Victorian mansion & onetime residence of a local railroad tycoon offers a peek into the past.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ0PDPymBLO-lX8NOfUaByPSF26vmBHO9Hp6gmnOrwUihZkJefzucd3SmqRSvPhsB8kj6fCj1WLX3SDvZXPdLxBDwKqPmx5NMrtgaiS1kFMBstKz5UUUsLsnSE_AWW7jIQ3i_igv08tzTYYPwXMLdY8fvEJO4yzCHTCFH8FRLD8oRVlE1Q81NzK0c69ZDBJh_OGXXX-6DvjAImSJvNLvoT0PJSjqbAW_1-l0ioj7h-HTd8ABWVwutlGCfKFwB5z3xTF_U3JWpRtHznx6ClCWKKu1FhbOPh06OXnPoPZ2cILvXPR2ERbqNlzuwNt6HJ_OetmI6_GHJRM&key=GOOGLE_API_KEY
Fontenelle Park,"4407 Fontenelle Boulevard, Omaha",(402) 444-5955,https://parks.cityofomaha.org/rules-regulations/,"tourist_attraction, park, point_of_interest, establishment",N/A,4.1,"Public park with ball fields & sports courts, a lagoon, picnic/grill facilities & a splash pad.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ3uuGZyTZIa95Zcs38AWHxivHFRdTFHU7O1SCDODg38DGp_8nGX7CfEkTMxBBTkLgUKZILxDD3KsiDB6VHSKg4BDggXxlmVzh_PUPxjTG0Qf_6emOkbXRMjPEbPEFZiZLfasPQDzeWwDCQM4vlQ0o_EivanKcXWejEuihdmLWUu8m2WxG5pqt9E_IvxNIJk9OmULiOBLSAAlEeqOLZ_VrxAlVbtqqTjQ-DcYjGbe-X67ZivQBsmHNNB2BzWtSyZXzRcfEdwxvgNeCkz_cdsIVXjlDDwYegAf2e-AzYP265qMJDahOh7FCg3YAkJGKvkQxxw4Gmzxji4GTGwymr4NfQbY3ylC84dS5mUpc7xDD8hvAfelKhbJ3ITJBl5jm3n2p3WvqxtSHhUomrnw0gCENI2qYDgGzjgDC9KguVFqe4IVsVlheCURlTfwyfr9whpjIIfsR2FfDsWMeJqvBTLqFSahTtX_iMlsd6bLqzjLsjWSiP9PMGdMTV5hI3l0h4of3vVCayJid3F3hwVbhRJgDrb5UAvzFhaT4h03alCMecCV2sJHRIsWJyQWCrfu0x1n_E7i5uDbENSlySUoZMFbiipOgpQpeOK5Al186uZyOscXSvtBoFWxLKw6EMnbMscPj8qiw&key=GOOGLE_API_KEY
Churchich Park,"3712 South 50th Street, Omaha",(402) 444-5900,https://parks.cityofomaha.org/rules-regulations/,"tourist_attraction, park, point_of_interest, establishment",N/A,4,No description available,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ3li9eH8cnPGUeppwKlOWgVs93-CJ9pICxNHdvdHUfjBnf_NpgxbNRNNLnx5Wc_XDMD5G-JPk-BnwUW61s45ssISvaRyJ7bAOgTViTUYzlgbmihhwuaVMIHbelg0g4t9ff3qaPqmqiQTHNqrnHXS6msjW4bwdk0nCTvvwiYvydkX-LRK5Gz7_6UDaoOTJ5V8NqMBfMwjqIkTJd0x7LpcYsojqihXt-wZu56j8ONwK2YDz8NCx2mmsRojiovUpLoQCNB4TAoBhyX89MMkRpO2_geTddy_2CZQKxthFGSU6ZqF9IqwlgoY4yxTo9vCdyhgi97i0rJ__mZbJYJTE0fBBT5k_jMUp2MmEnAZ9lFuG_qVhW_wYGreHS7MRwN77DWHLZG3T3gNEQQjemNQEM7dD9IXf104egQzJn2PYj4dMlIMHWvkHP4N4xjGUuaXKi77bw265f_UFJUry5yvBulzbVaJagLl1Rm5_7U9Uo3Qqy6xPL9o_TMIXtUD4WrNVHPJbeSc3F5xqk1XEAhPlv4_TlaTj4oXe_FD6DCUbAJ2kvejMDpz87AFCV9ahRnLuyeu9bDZTHV8lffOHs1lkdho6l2ILVeOWhQSYL-IudcSyK2ftamg887vOwBHGy5GJNxm2Ib8w&key=GOOGLE_API_KEY
Levi Carter Park,"4405 Carter Lake Shore Drive, Omaha",(402) 444-4674,https://parks.cityofomaha.org/rules-regulations/,"tourist_attraction, park, point_of_interest, establishment",N/A,4.2,"This park on Carter Lake offers boating & fishing, plus baseball, football & basketball.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ07ricTZxTEM8iKZpk0NWW2PxnEpwuWABb5fQEp-9wOgS5Oltl3fWXVK3jZjaqkQ3-xUeHmgoR255bbt0hOdPHcAiwMg_aim0Uzj_cBPYT3JnRZ_S4catMeZL9ZmcLMq4T7T0aYdRISFWy3GXpiVjdMxu6LnkfchPciSi1FEjNJo2m0TIylcHUoNdYsoSACVTP9BFF8TV4dzBNwfU4BMdWAv9uWbYH6repfmZPtLk1Te71XZUC7gPi-cZspyKTtxOd4S7ogoPKL8tUG4L2FAXE9p2k1z3Yq4JvCM44-fsRi2R4B9JuR57-gEca_B4Xida1tI-Mjp0XBTx6yGeo02_RWl2tJwY6Cq_aDUlqZNiZfC4Qc6H2PxqyUV2xtMEksAs7VzxcQi4klg105daubkxtn_c38lxKGz7PFocOEbknRV541W4CoxlOzxO3gBwo3hqtLF9X7xbTjqS35F9h7IB0gFxaCG0Uoq2oODPw4IKFBo071lRzlxlo6DGK0or9IsuB2U3j27yuDqtVY5G5w-dXTHPrumPG9vYo5eV5oyJ1Z0BVbwxp0tshkk4HBu3MPnmWKyH2JpSZCTWBBAH35D5C4ZhjCGssahVEISkqbrQoredxlCAkqGzTUulXf21ee7EkpXQ&key=GOOGLE_API_KEY
Spring Lake Park,"4020 Hoctor Boulevard, Omaha",(402) 444-5900,http://parks.cityofomaha.org/,"tourist_attraction, park, point_of_interest, establishment",N/A,4.2,No description available,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ1QAdT1YfN-lbZtMEBZpKfdmOfc7f3epLDyvsnVqCZ5YJi7sSaIT6BX44bL7pV3mUQ2Hnz42QVYwTStA6m0WI60iSvJVF1BT1o3-OwgZPiuRIwNJAogyN6ZDP7x0jZWlRPED1ImIy4CUSSS-3yvEzzVuS8Z50vGkZ_lNnL0RW6_EGwy3CoEA3LGMPCKM31ypA4ueLCtOeDj5qpwqL-b1j6zTq1dyuFXiwvHx6mV-Mjsv0jP8l26ZhJLAtm2war3_9tLTHgOzDintCpkUBEI_AmVGny8VcA176_D8mTxEDoNsMy1G4lI7Xxkaj_lneGmHtTqZMHAeao02vGjk0KURw0BxEw9THCewyot7dp7EqUjG4kTUM0U9dAh4YQRj8Z0FMOMhGsEnyLugZfU1FY0p_GuxiSRDPoKYxo0pXHrPtbAWcYLqqzJ4ItwYwNORxqoDm2ZPcW0pWLeJXP0SusmR1y5wOPzKx-oJmawDpeZlcCakONrR5_mGboR_glFl0EnOy4amhYu9DBi2NzOLehgMB_w0QD5FvNr74WKk37iNtQ3OKfyTilgVqomdAgx3MRpS3fjpyM3O07TWjo627iA773HoIozpdSEcpX6tB3j5gkAU4uJWIMpruuMAXdHODyHQmfZAQ&key=GOOGLE_API_KEY
Spirit of Nebraska Wilderness,"101 South 16th Street, Omaha",(402) 602-3930,N/A,"park, tourist_attraction, point_of_interest, establishment",N/A,4.5,No description available,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ21y_69b9sUt6AcyqE5FClvNHSbqb3rH0yB4aMMXaMgRJjgiJtkqag5ElNNY0gY6bPyO5kHxWOCCd5dFdvGJwXleoD1yqm0hxRcej_utuD1JPYUUU8N0_dc7VxoiE8PTgn9ugxC_Xtq7jfoWksi2CXWifEOGP8sq0MXuOfRhDYidkS5JqdI4ymZiAcC7QN4GQQADFhHzxaVImChbzU2w7orMcFotyxoFKk6TBWZCmDqOsVSp-HwrCjzviTTr5Mats3AUp7VXJEA2eo-xDq0QAKPmzDEZMHQFaNDLHHo0FosnNWqZS530qujjS0UvhNum6rW1XGQ8BCgLG2EYo62wRq_Oe_JmKvJBtaYXWJPi2m5wYVTP6CetcWQikFg_i4wSqZGnEoiz_rCZZAMJQV3pdigTHNwptPhGUdT8Qm1FpH_49NAX5IHE71mdNM8BwSZPdagOgrN1a3AfsMg2bL88NyoJKda95JBoz3jfP3gGJly7QLBz91JXOgrmhhX7yyLFeEJLmLOC5OYLelcx-2V8sH1tzo3DnvetE70JWJDBgiB1E0kijyuyVGGytyUXYvrRZywFmFcGOTb9PZWry5Dqeiu4ZD_IWaO9T4JZzOjIroQHsJwkCHt7dgpOhAuJYY6&key=GOOGLE_API_KEY
The Old Market,"1020-1098 Howard Street, Omaha",N/A,https://oldmarket.com/,"tourist_attraction, point_of_interest, establishment",N/A,4.7,No description available,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ1u1lucbGU5QnDxyFHZkJYMV_Zn0CDi8Q2kz-FpRLNNbXGGhqZT6zjyfqBkFUit7uzk46xDvngGNT7tW3cvhY6dkeRzzFtHGiJfu_XCkpIKPpLhvGOuGZzRLQZASiY4vIs1VGtTXFgWd0riQiTOF2VI0PW1AvzSymlsZTKufyrBwkuyzz8n_dqVXnURNmAQvQtRMLDrJOjOpBtlGwYZKcmYsZje4jcw4M1-DJeFCTil0jDwXLalmHoo-JVvzGbzy6LRA-aLli53pWUmC5oJujZfrxGLwESLE2N7Kbiq7ZOf4k_LXUYu9ZrhyPmdZ3LIFsaUbzuxRLSxRNgIeyS9uTm5dVyEsvDxf9Gdn63w0LhsuSONrkZkjA5qElBiadFiR9rf6OMWNnnYg4EHC9bsY63FE8b2nN2yL-MEP7tyfUblbzgCsTHxdTr4NtJu3yZKjgr8ODbxF9wfeW7f-kz-y4w4tHD5rxCFc6jiG_e3gHF8GVBKxe_ggHnvTUfDEIKKmE9KYRfaRh1VVak71hFDml67xmsEVhCJnODOaZaH3cLCKs8C7IfzcvxwSXj5A0AqYolUfvwOyoVmuXKcWl10RLtMnEodIhvz_IMsCpfwXXOWd499PNLPjohc-QPttx9giIpbzw9U&key=GOOGLE_API_KEY
The Capitol District,"1022 Capitol Avenue, Omaha",(402) 200-3039,http://www.capitoldistrictomaha.com/,"tourist_attraction, point_of_interest, establishment",N/A,4.3,No description available,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AUy1YQ0W1Xe3razCuJH_-IzCn2LMC9YN_3D-QBs_J1zt6ByO0xaBguDYERt6JPWfOB3fMEgpZt7XbPpMSNJw1IGWwrMFfiiyvgKBizVb-inAuUAozv0JA5AW0JjjeI7jdIBYLJsYhFqntEicRaFj3CnG5pv8ZweEVGHCKLaQj2OZTOmXbriqdafO3foa_KbOAbWGkpXYDmAcJdcOZqmXAz9uS8xgDHpW1LidDREqYcwfn5I_0Y-e7yy3Zjsm9z7sX2_aIzLXdUNcQrlqKqGzhdvpbBQJUYf0zdrN8JQFO9QB7rpI7ApdqW9sPUM8n_ipRXCkh_ClD4PJMMA&key=GOOGLE_API_KEY
